Speaker,Text
Joe Rogan,"Ah, ha, ha, ha. Four, three, two, one, boom. Thank you. Thanks for doing this, man. Really appreciate it."
Elon Musk,You're welcome.
Joe Rogan,It's very good to meet you.
Elon Musk,Nice to meet you too.
Joe Rogan,And thanks for not lighting this place on fire.
Elon Musk,You're welcome. That's coming later.
Joe Rogan,"How does one, just in the middle of doing all the things you do, create cars, rockets, all the stuff you're doing,constantly innovating, decide to just make a flamethrower? Where do you have the time for that?"
Elon Musk,"Well, the flame, we didn't put a lot of time into the flamethrower. This was an off-the-cuff thing. It's sort of a hobbycompany called the Boring Company, which started out as a joke, and we decided to make a real, and dig a tunnelunder LA. And then, other people asked us to dig tunnels. And so, we said yes in a few cases."
Joe Rogan,"Now, who-"
Elon Musk,"And then, we have a merchandise section that only has one piece of merchandise at a time. And we started off witha cap. And there was only one thing on, which is BoringCompany.com/hat. That's it. And then, we sold the hats,limited edition. It just said, ""The Boring Company."""
Elon Musk,"And then, I'm a big fan of Spaceballs, the movie. And in Spaceballs, Yogurt goes through the merchandisingsection, and they have a flamethrower in the merchandising section of Spaceballs. And, like, the kids love that one.That's the line when he pulls up the flamethrower. It's like, ""We should do a flamethrower."" So, we-"
Joe Rogan,"Does anybody tell you no? Does anybody go, ""Elon, maybe for yourself, but selling a flamethrower, the liabilities, allthe people you're selling this device to, what kind of unhinged people are going to be buying a flamethrower in thefirst place? Do we really want to connect ourselves to all these potential arsonists? https://sonix.ai/"
Elon Musk,"Yeah, it's a terrible idea. It's terrible. Don't buy one. I said, ""Don't buy this flamethrower. Don't buy it. Don't buy it.""That's what I said, but, still, people bought it."
Joe Rogan,Yeah.
Elon Musk,There's nothing I can do to stop them. I did not stop them.
Joe Rogan,"You build it, they will come."
Elon Musk,"I said, ""Don't buy it. It's a bad idea."""
Joe Rogan,How many did you make?
Elon Musk,"It's dangerous. It's wrong. Don't buy it. And, still, people bought it. I just couldn't stop them."
Joe Rogan,How many did you make?
Elon Musk,20000
Joe Rogan,And they're all gone?
